course_id,course_name,is_gps_art,water_count_300m,water_count_700m,toilet_count_300m,mood_tags_derived,environment
RM_GPX_NEW_009,서리풀공원 순환,False,3.0,8.0,,"힐링,자연,조용함,성취도전,스트레스해소","도심 숲과 공원, 비교적 한적한 녹지"
RM_GPX_NEW_010,안산자락길 순환,False,10.0,18.0,,"힐링,자연,조용함,성취도전,스트레스해소,우울위로","안산 자락 숲길, 자연·전망 중심"
RM_GPX_NEW_011,푸른수목원 순환,False,2.0,3.0,,"힐링,자연,조용함,우울위로,외로움위로,스트레스해소","수목원·습지·숲, 차분하고 한적한 환경"
RM_GPX_NEW_012,보라매공원 순환,False,9.0,14.0,,"활력,스트레스해소,힐링,기분전환,자연","생활권 대형공원, 운동·산책 혼합"
RM_GPX_NEW_013,북서울꿈의숲 순환,False,11.0,26.0,,"힐링,자연,스트레스해소,조용함,성취도전","대형 녹지공원, 숲·전망 공간"
RM_GPX_NEW_014,서울숲 내부,False,8.0,19.0,,"힐링,자연,조용함,우울위로,외로움위로,기분전환",서울숲 내부 녹지·산책로
RM_GPX_NEW_015,석촌호수 순환,False,14.0,22.0,,"힐링,개방감,활력,야경,기분전환,스트레스해소","석촌호수 수변, 도심 야경·활기"
RM_GPX_NEW_016,올림픽공원 대순환,False,20.0,29.0,,"활력,스트레스해소,자연,개방감,성취도전,힐링",올림픽공원 대형 녹지와 넓은 산책로
RM_GPX_NEW_017,올림픽공원 소순환,False,14.0,26.0,,"힐링,활력,자연,기분전환,스트레스해소","올림픽공원 핵심 구간, 가벼운 공원 러닝"
RM_GPX_NEW_018,용산가족공원 순환,False,4.0,14.0,,"힐링,자연,조용함,우울위로,외로움위로,기분전환","가족공원 녹지·연못, 차분한 생활권 공원"
